Library, PyQt5
Time [s], Voltage [V]
540.0, 5.00000
541.0, 5.00000
542.0, 4.99511
543.0, 0.00000
544.0, 0.00000
545.0, 0.00000
546.0, 0.00000
547.0, 0.00000
548.0, 0.00000
549.0, 0.00000
550.0, 0.00000
551.0, 0.00000
552.0, 0.00000
553.0, 0.00000
554.0, 0.00000
555.0, 0.00000
556.0, 0.00000
557.0, 0.00000
558.0, 0.00000
559.0, 0.00000
560.0, 3.30401
561.0, 3.30890
562.0, 3.30401
563.0, 3.31378
564.0, 3.29912
565.0, 3.30890
566.0, 3.30401
567.0, 3.30890
568.0, 3.30890
569.0, 3.31378
570.0, 3.30401
571.0, 3.30890
572.0, 3.29912
573.0, 3.31378
574.0, 3.29912
575.0, 3.31867
576.0, 3.29912
577.0, 3.31378
578.0, 3.29912
579.0, 3.31378
580.0, 3.30890
581.0, 3.31378
582.0, 3.30401
583.0, 3.31378
584.0, 3.30401
585.0, 3.30401
586.0, 3.30401
587.0, 3.31378
588.0, 3.30401
589.0, 3.31378
590.0, 3.30401
591.0, 3.31378
592.0, 3.29912
593.0, 3.31378
594.0, 3.30401
595.0, 3.31378
596.0, 3.30401
597.0, 3.30890
598.0, 3.29912
599.0, 3.31378
600.0, 3.29912
601.0, 3.31378
602.0, 3.30401
603.0, 3.31378
604.0, 3.30890
605.0, 3.30890
606.0, 3.30401
607.0, 3.31378
608.0, 3.30401
609.0, 3.31378
610.0, 3.30401
611.0, 3.31378
612.0, 3.30401
613.0, 3.31867
614.0, 3.30401
615.0, 3.30890
616.0, 3.30401
617.0, 3.30890
618.0, 3.29912
619.0, 3.31378
620.0, 3.30401
621.0, 3.30890
622.0, 3.29912
623.0, 3.30890
624.0, 3.29912
625.0, 3.31378
626.0, 3.30890
627.0, 3.31378
628.0, 3.30401
629.0, 3.31867
630.0, 3.30401
631.0, 3.31378
632.0, 3.30890
633.0, 3.30890
634.0, 3.29912
635.0, 3.31378
636.0, 3.30401
637.0, 3.30890
638.0, 3.30401
639.0, 3.31378
640.0, 3.30401
641.0, 3.30890
642.0, 3.29912
643.0, 3.31378
644.0, 3.30401
645.0, 3.30890
646.0, 3.29912
647.0, 3.30890
648.0, 3.30401
649.0, 3.30890
650.0, 3.30890
651.0, 3.31378
652.0, 3.30401
653.0, 3.31378
654.0, 3.30401
655.0, 3.30890
656.0, 3.29912
657.0, 3.30401
658.0, 3.30401
659.0, 3.31378
660.0, 3.29912
661.0, 3.31378
662.0, 3.30890
663.0, 3.31378
664.0, 3.29912
665.0, 3.31378
666.0, 3.30401
667.0, 3.30890
668.0, 3.30401
669.0, 3.31378
670.0, 3.30401
671.0, 3.31378
672.0, 3.30401
673.0, 3.31378
674.0, 3.29912
675.0, 3.30890
676.0, 3.29912
677.0, 3.30890
678.0, 3.29912
679.0, 3.31378
680.0, 3.30890
681.0, 3.30890
682.0, 3.30401
683.0, 3.31378
684.0, 3.30401
685.0, 3.31378
686.0, 3.29912
687.0, 3.30890
688.0, 3.30401
689.0, 3.31378
690.0, 3.30401
691.0, 3.30890
692.0, 3.29912
693.0, 3.31378
694.0, 3.30401
695.0, 3.31378
696.0, 3.29912
697.0, 3.31378
698.0, 3.30401
699.0, 3.31378
700.0, 3.29912
701.0, 3.31378
702.0, 3.30401
703.0, 3.30401
704.0, 3.29912
705.0, 3.31378
706.0, 3.30401
707.0, 3.31378
708.0, 3.30401
709.0, 3.30401
710.0, 3.30401
711.0, 3.30890
712.0, 3.29912
713.0, 3.30890
714.0, 3.30401
715.0, 3.30890
716.0, 3.30401
717.0, 3.30890
718.0, 3.30401
719.0, 3.31378
720.0, 3.30401
721.0, 3.30890
722.0, 3.29912
723.0, 3.31867
724.0, 3.29912
725.0, 3.30890
726.0, 3.29912
727.0, 3.30890
728.0, 3.30401
729.0, 3.31378
730.0, 3.29912
731.0, 3.31378
732.0, 3.29912
733.0, 3.30890
734.0, 3.30401
735.0, 3.30890
736.0, 3.30401
737.0, 3.30890
738.0, 3.30890
739.0, 3.31378
740.0, 3.30401
741.0, 3.31378
742.0, 3.30401
743.0, 3.31378
744.0, 3.30401
745.0, 3.30890
746.0, 3.29912
747.0, 3.30890
748.0, 3.29912
749.0, 3.31378
750.0, 3.30401
751.0, 3.31378
752.0, 3.30401
753.0, 3.31867
754.0, 3.28935
755.0, 3.31378
756.0, 3.30401
757.0, 3.31378
758.0, 3.29912
759.0, 3.30890
760.0, 3.30401
761.0, 3.31378
762.0, 3.30401
763.0, 3.31378
764.0, 3.30401
765.0, 3.31867
766.0, 3.30401
767.0, 3.31378
768.0, 3.30401
769.0, 3.31378
770.0, 3.30401
771.0, 3.31867
772.0, 3.30401
773.0, 0.00000
774.0, 0.00000
775.0, 0.00000
776.0, 0.00000
777.0, 0.00000
778.0, 0.00000
779.0, 0.00000
780.0, 0.00000
781.0, 0.00000
782.0, 0.00000
783.0, 0.00000
784.0, 0.00000
785.0, 0.00000
786.0, 0.00000
787.0, 0.00000
788.0, 0.00000
789.0, 0.00000
790.0, 0.00000
791.0, 0.00000
792.0, 0.00000
793.0, 0.00000
794.0, 0.00000
795.0, 0.00000
796.0, 0.00000
797.0, 0.00000
798.0, 0.00489
799.0, 0.00000
800.0, 0.00000
801.0, 0.00000
802.0, 0.00000
803.0, 0.00000
804.0, 0.00000
805.0, 0.00000
806.0, 0.00000
807.0, 0.00000
808.0, 0.00000
809.0, 0.00000
810.0, 0.00000
811.0, 0.00000
812.0, 0.00000
813.0, 0.00000
814.0, 0.00000
815.0, 0.00000
816.0, 0.00000
817.0, 0.00000
818.0, 0.00000
819.0, 0.00000
820.0, 0.00000
821.0, 0.00000
822.0, 0.00000
823.0, 0.00000
824.0, 0.00000
825.0, 0.00000
826.0, 0.00000
827.0, 0.00000
828.0, 0.00000
829.0, 0.00000
830.0, 0.00000
831.0, 0.00000
832.0, 0.00000
833.0, 0.00000
834.0, 0.00000
835.0, 0.00000
836.0, 0.00000
837.0, 0.00000
838.0, 0.00000
839.0, 0.00000
840.0, 0.00000
841.0, 0.00000
842.0, 0.00000
843.0, 0.00000
844.0, 0.00000
845.0, 0.00000
846.0, 0.00000
847.0, 0.00000
848.0, 0.00000
849.0, 0.00000
850.0, 0.00000
851.0, 0.00000
852.0, 0.00000
853.0, 0.00000
854.0, 0.00000
855.0, 0.00000
856.0, 0.00000
857.0, 0.00000
858.0, 0.00000
859.0, 0.00000
860.0, 0.00000
861.0, 0.00000
862.0, 0.00000
863.0, 0.00000
864.0, 0.00000
865.0, 0.00000
866.0, 0.00000
867.0, 0.00000
868.0, 0.00000
869.0, 0.00000
870.0, 0.00000
871.0, 0.00000
872.0, 0.00000
873.0, 0.00000
874.0, 0.00000
875.0, 0.00000
876.0, 0.00000
877.0, 0.00000
878.0, 0.00000
879.0, 0.00000
880.0, 0.00000
881.0, 0.00000
882.0, 4.99511
883.0, 5.00000
884.0, 4.99511
885.0, 5.00000
886.0, 4.99511
887.0, 5.00000
888.0, 4.99511
889.0, 5.00000
890.0, 4.99511
891.0, 5.00000
892.0, 4.99511
893.0, 5.00000
894.0, 4.99511
895.0, 5.00000
896.0, 4.99511
897.0, 5.00000
898.0, 4.99511
899.0, 5.00000
900.0, 4.99511
